day,p05,p50,p95,mean_path
204,883000.5971062408,1142611.056911913,1480198.7000836118,1156405.2985315782
205,881243.9818883626,1143277.1282504457,1481764.1503581204,1157122.0513157924
206,882448.1568291866,1144040.3203986497,1484581.3595852836,1157914.3154970356
207,883568.3114388579,1145013.290523117,1486218.7144951061,1158863.302351433
208,883602.447739208,1147198.1599476966,1488538.319049086,1159853.7056648538
209,884225.889879719,1147004.5573136224,1491736.9722666745,1160657.629999815
210,882453.9019145363,1147375.3605634193,1493168.8740853579,1161557.2768438142
211,880853.9721020977,1147769.0426492621,1496205.9274960337,1162207.2089478688
212,881093.4356166677,1149091.3712802264,1497339.8265681718,1163148.8345229977
213,881939.4268245144,1149582.9963129296,1499058.957100973,1164055.0967797523
214,881162.1275383548,1150597.93412382,1500669.45037825,1164852.4187601318
215,881377.2281314412,1150856.0907791923,1503124.3526257582,1165611.4259052048
216,879937.486628691,1152295.349100303,1503620.8245519337,1166201.3083095655
217,880721.2277231833,1152354.9063338197,1505782.6814676146,1167072.3416433602
218,880924.1456280629,1153227.4351797136,1506363.7384503118,1168006.6831279602
219,881056.8056984317,1154667.2547916174,1505710.6977710773,1168968.3049601433
220,879539.9661351191,1155802.3596537611,1509419.0884140562,1169770.7430476174
221,881291.5180327856,1154906.193149446,1510593.817457596,1170528.1754272222
222,880825.0612776129,1156465.3932414255,1514217.7260797184,1171450.637234825
223,881492.1141708804,1157156.1806350383,1515587.5423686944,1172239.8700720377
224,881871.8680350691,1157507.3758233488,1515564.5669373593,1172935.2147484017
225,880654.8078220615,1158102.950474256,1515750.6153086575,1173611.2126516004
226,880119.7077869818,1158519.3052069359,1517471.510599568,1174333.250260068
227,880892.3952596736,1160398.1224744485,1517990.6132892664,1175269.307719548
228,879996.4377413928,1161832.136973598,1519669.5621266442,1176088.858153585
229,880321.2054697755,1162694.8583416867,1522165.1301536842,1177045.6229912245
230,881233.1754412319,1163236.317584365,1520573.2020584638,1177717.305322323
231,881587.1042708083,1163220.2387846394,1522831.305435466,1178559.608657884
232,881567.6292906773,1164482.0061017745,1523700.849786965,1179458.018280612
233,880630.7538775778,1164668.5527583063,1529660.1710581332,1180465.5292149372
