Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-11-04,60394600,107060000,2543500,8224400,9574200,23992200,6594000,1153631000,6402500,17720100,4462300000
2021-11-05,65463900,99940000,2591300,6215900,7975600,22570100,4885400,851260000,6062700,18565100,4467180000
2021-11-08,55020900,61480000,5944700,5578800,6413700,20897000,5391000,503101000,5854400,17696000,4269710000
2021-11-09,56787900,85898000,3310300,6112800,7990300,21307400,3917600,646746000,4873100,18781300,4117080000
2021-11-10,65187100,80548000,3261800,6225100,6999200,25500900,5192700,636206000,7334900,20177200,4503720000
2021-11-11,41000000,45288000,4819800,4118800,5815300,16849800,5370200,332172000,4096300,13319300,3926870000
2021-11-12,63804000,53788000,2018000,18995200,8113400,23831000,6467100,413054000,5687400,18158900,3728600000
2021-11-15,59222800,58594000,2392600,7496200,6492500,16723000,5543000,384909000,5510200,18849200,3488410000
2021-11-16,59256200,44342000,2138000,7594700,9706100,20886800,5497200,264484000,7603900,17028700,3972640000
2021-11-17,88807000,51206000,3135700,5414500,9909600,19053400,6203100,428508000,4900200,15497000,3969070000
2021-11-18,137827700,114070000,2119900,6358700,8122500,22463500,5537400,781711000,5509300,16948200,4226410000
2021-11-19,117305600,98734000,2980100,7620700,12193600,21963400,6765100,533867000,6274300,32035500,4253180000
2021-11-22,117467900,96844000,2596500,7634500,14549900,31031100,5214500,754335000,6625400,21994400,4441100000
2021-11-23,96041900,73804000,3127100,7734000,12354400,30427600,7408000,532163000,7912800,21185900,4277590000
2021-11-24,69463600,46560000,3880500,5230900,9629800,21661300,4553900,435162000,5665200,15869700,3418430000
2021-11-26,76959800,59826000,3496000,8523100,13619300,24217200,4340700,283069000,6299800,24979600,3517700000
2021-11-29,88748200,65312000,4559900,9188500,12104400,28563500,8712500,454964000,7113300,18946400,4336410000
2021-11-30,174048100,80022000,6358000,14981700,18922600,42885600,16328300,622066000,11696400,34979800,6625990000
2021-12-01,152052500,74916000,3425300,9835800,12253400,33337600,10062800,484368000,8313500,30630600,5366730000
2021-12-02,136739200,64726000,3445700,11334700,12969900,30766000,8303500,472890000,9468800,29216000,5077180000
2021-12-03,118023100,80712000,3250900,8750500,12681800,41779300,11191000,544325000,11200800,22014700,5240070000
2021-12-06,107497000,68860000,2838400,9692000,11186500,30032600,8946400,658938000,11935100,19210500,4770800000
2021-12-07,120405400,66410000,2818000,8311300,9851600,31021900,7909700,593053000,7913400,19800400,4492400000
2021-12-08,116998900,45254000,2341200,6216400,11705700,24761000,5356500,475551000,8329300,18214400,4234600000
2021-12-09,108923700,46062000,1646600,8574200,11189600,22214200,5731200,488507000,8334300,16910300,3903840000
2021-12-10,115402700,60690000,3315200,6572200,10405400,38095700,4996700,488825000,7172300,17942400,3870110000
2021-12-13,153237000,62170000,1868500,11142300,12069000,28899400,6446500,598344000,8944000,17793700,4397230000
2021-12-14,139380400,55976000,2248800,10482400,12563600,44438700,11022600,667035000,8677500,22551100,4485430000
2021-12-15,131063300,75794000,2193700,8552200,14014200,35381100,9590000,698297000,9152600,19961900,4910130000
